,owner_name,follower,following,post_number
3,Lillianna Pruitt,14807976.0,11.0,88.0
15,Hayden Roy,248522613.0,79.0,11.0
16,Kira Castaneda,246047852.0,12.0,63.0
24,Charles Morales,222955873.0,12.0,38.0
29,Gabriel Calhoun,132769603.0,16.0,58.0
36,Demarion Suarez,63641416.0,12.0,11.0
40,Alexia Moss,314936599.0,17.0,48.0
41,Boston Stout,293331811.0,13.0,56.0
49,Yasmine Hutchinson,181380421.0,13.0,98.0
52,Mylie Prince,172675476.0,18.0,43.0
55,Dexter Salazar,265575683.0,10.0,54.0
56,Jamie Oneal,252094671.0,12.0,41.0
71,Eden Walter,50414607.0,10.0,82.0
86,Nasir Mcgrath,107737269.0,12.0,99.0
88,Janet Knight,137375221.0,18.0,26.0
